,id,Recipient (video or comment),comment
63,UgzE2uN01iXHEeYS2Ed4AaABAg,r49UF4GvGGg,I really love this channel! Keep up the good work  emoji_red_heart 
64,Ugzu4KNZx_pxXiDeh-N4AaABAg,r49UF4GvGGg,"""Each war contains all earlier wars.""[The Human Province, Elias Canetti, 1973, English Edition, 1978, Sec. ""1951“]"
65,UgyQYgrTmd-QwU0eYIx4AaABAg,r49UF4GvGGg,"""The war divided people into two parties:one absolutely warlike, the other absolutely peaceful. The former continues the war in plans of revenge; the latter celebrates reconciliation long before winning.""[The Human Province, Elias Canetti, 1973, English Edition, 1978, Sec. ""1943“]"
66,UgySmnfgEJzZ4z93Os54AaABAg,r49UF4GvGGg,"Of all human religion, war is the most tenacious; but it too can be disbanded.[The Human Province, Elias Canetti, 1973, English Edition, 1978, Sec. ""1942“]"
67,Ugzh5PIpSENqSwCPyRZ4AaABAg,r49UF4GvGGg,This is the violent origins of war.The Nephalim taught man to extract metals from the ground to make armour and swords and spears.Then they taught them how to go to war.And have been laughing at the morons ever since.
68,UgwqHUMFr00dV5abO0B4AaABAg,r49UF4GvGGg,Hopefully Netflix does more of this program
69,UgxYPtLBrTGBr5NlYEx4AaABAg,r49UF4GvGGg,This is on Netflix now Monsters and Myths
70,UgyPb0aIipvMojJkaCF4AaABAg,r49UF4GvGGg,Love watching documentaries like this
71,Ugx4B9-UrG_ZmJsnRoB4AaABAg,r49UF4GvGGg,Excellent documentary  emoji_clapping_hands  emoji_clapping_hands  emoji_clapping_hands  emoji_clapping_hands 
72,Ugwkg8rQInwyxgKXIGB4AaABAg,r49UF4GvGGg,So nice the way of how history is presented... Like a fairytale.  emoji_sparkles  emoji_dizzy  emoji_blue_heart  emoji_white_heart  emoji_red_heart  emoji_star-struck 
73,UgzMaxf-lN7TEFptbJ14AaABAg,r49UF4GvGGg,"First off, Respect to the excellent 3D graphics  emoji_OK_hand "
74,UgzXhzamJlrCMBKumQB4AaABAg,r49UF4GvGGg,Release the Kraken!
75,UgwtDpcnQ8KxmHwSrpl4AaABAg,r49UF4GvGGg,God i love documentaries like this.Good job keep up the good work.
76,UgzK9oIfqVPwRPjf-7x4AaABAg,r49UF4GvGGg,"1,830th!.."
77,UgzK9oIfqVPwRPjf-7x4AaABAg.9eh0ctzWLQz9epjBi795IA,UgzK9oIfqVPwRPjf-7x4AaABAg, emoji_face_with_tears_of_joy  emoji_face_with_tears_of_joy  emoji_face_with_tears_of_joy 11.176th  emoji_winking_face 
78,UgxEqmAp0Hx8k3AEid54AaABAg,r49UF4GvGGg,"Even with the economic Inflation emoji_weary_face  I'm very excited to have earned $10,250 on my $4,000 investment every 13 days  emoji_smiling_face_with_smiling_eyes "
79,UgxEqmAp0Hx8k3AEid54AaABAg.9egy_5z9WRH9fDQhQHZYKu,UgxEqmAp0Hx8k3AEid54AaABAg,Lmfaooo yoo that was totally believable! I definitely don’t think you’re the same person taking to yourself..definitely not.  emoji_face_with_tears_of_joy  emoji_face_with_tears_of_joy  emoji_woman_facepalming 
80,UgxEqmAp0Hx8k3AEid54AaABAg.9egy_5z9WRH9emBSazXiVd,UgxEqmAp0Hx8k3AEid54AaABAg,"Lmao what a natural, totally real and not fake at all, convenient y'all are having!!"
